語	TF	IDF	TF・IDF
デ	450	1.2230	550.3362
コンシャーボク	76	5.5134	419.0206
ファイル	2555	0.1616	412.8129
朝倉書店	182	2.0169	367.0797
アル	226	1.6014	361.9177
サン	223	1.6216	361.6187
明石書店	289	1.2368	357.4244
二宮書店	163	2.0477	333.7739
世界各国要覧と最新統計	154	2.1461	330.5045
ワールド	205	1.5816	324.2286
データブック	158	2.0477	323.5355
ザ	230	1.4026	322.5876
エリア	108	2.7408	296.0107
地域区分表列	79	3.7217	294.0119
ボスニア	78	3.7217	290.2902
日本	208	1.3863	288.3492
島田周平	119	2.4224	288.2640
柴田匡平	119	2.4224	288.2640
オブ	246	1.1696	287.7273
東京	132	2.0794	274.4863
